assinatura;numero_nfe;codigo_verificacao;data_emissao_nfe;competencia;numero_nfe_substituida;numero_rps;data_emissao_rps;serie_rps;tipo_rps;outras_informacoes;optante_simples_nacional;incentivador_cultural;regime_especial_tributacao;natureza_da_operacao
;1;MEEB-IZLD;2012-05-16 09:32:00;201205;;;0000-00-00;;;;2;2;;0
;2;AUYL-INVB;2012-05-16 09:43:00;201205;;;0000-00-00;;;;2;2;;0
;3;AIXT-AHGE;2012-05-16 10:01:00;201205;;;0000-00-00;;;;2;2;;0
;4;ZBCP-QAAW;2012-05-16 11:31:00;201205;;;0000-00-00;;;;2;2;;0
;5;YGAT-MPFB;2012-05-25 15:26:00;201205;;;0000-00-00;;;;2;2;;1
;6;TALG-VZKT;2012-05-25 15:50:00;201205;;;0000-00-00;;;;2;2;;1
;7;LKXE-MVWI;2012-05-28 15:44:00;201205;;;0000-00-00;;;;2;2;;1
