assinatura;numero_nfe;codigo_verificacao;data_emissao_nfe;competencia;numero_nfe_substituida;numero_rps;data_emissao_rps;serie_rps;tipo_rps;outras_informacoes;optante_simples_nacional;incentivador_cultural;regime_especial_tributacao;natureza_da_operacao
;1;ZBPV-QADL;2012-06-11 11:18:00;201206;;;0000-00-00;;;;2;2;;1
;2;TGZZ-VWXC;2012-06-11 11:32:00;201206;;;0000-00-00;;;;2;2;;1
;3;DJXT-DRBU;2012-06-12 11:28:00;201206;;;0000-00-00;;;;2;2;;1
;4;EJZW-LRGB;2012-06-14 10:47:00;201206;;;0000-00-00;;;;2;2;;2
